algorithm,algorithm_label,pres_id,r1,r2,status,solved,nodes_explored,path_length,termination_reason,final_total_length,minimum_total_length,sub_queue_pops,single_cov_queue_pops,automorphism_queue_pops,non_auto_cov_queue_pops,sub_moves_in_path,single_auto_cov_moves_in_path,automorphism_moves_in_path,non_auto_cov_moves_in_path,path_json,moves_json,error
auto_dual,Sub + Auto Dual GS,0,YYXyx,Yx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""Yx"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_+1"", ""letter_replacements"": {""x"": ""xy"", ""X"": ""YX""}, ""right_power"": 1, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""Yx"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,1,YYXyx,YX,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YX"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_-1"", ""letter_replacements"": {""x"": ""xY"", ""X"": ""yX""}, ""right_power"": -1, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YX"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,2,YYXyx,YYx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YYx"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_+2"", ""letter_replacements"": {""x"": ""xyy"", ""X"": ""YYX""}, ""right_power"": 2, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YYx"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,3,YYX,YYXyx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YYX"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_-2"", ""letter_replacements"": {""x"": ""xYY"", ""X"": ""yyX""}, ""right_power"": -2, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YYX"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,4,YYYx,YYXyx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YYYx"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_+3"", ""letter_replacements"": {""x"": ""xyyy"", ""X"": ""YYYX""}, ""right_power"": 3, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YYYx"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,5,YYYX,YYXyx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YYYX"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_-3"", ""letter_replacements"": {""x"": ""xYYY"", ""X"": ""yyyX""}, ""right_power"": -3, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YYYX"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,6,YYXyx,YXYxx,ok,True,7,6,solved,2,2,7,0,0,0,6,0,0,0,"[[""YYXyx"", ""YXYxx""], [""YYYx"", ""YXYxx""], [""YYYx"", ""YYxyX""], [""YYx"", ""YYYx""], [""Y"", ""YYx""], [""Y"", ""Yx""], [""Y"", ""X""]]","[{""move_type"": ""standard_substitution"", ""from_state"": [""YYXyx"", ""YXYxx""], ""to_state"": [""YYYx"", ""YXYxx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""YYYx"", ""YXYxx""], ""to_state"": [""YYYx"", ""YYxyX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""YYYx"", ""YYxyX""], ""to_state"": [""YYx"", ""YYYx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""YYx"", ""YYYx""], ""to_state"": [""Y"", ""YYx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""Y"", ""YYx""], ""to_state"": [""Y"", ""Yx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""Y"", ""Yx""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,7,YYXyx,YXXyx,ok,True,4,3,solved,2,2,4,0,0,0,3,0,0,0,"[[""YYXyx"", ""YXXyx""], [""Yx"", ""YXXyx""], [""Y"", ""Yx""], [""Y"", ""X""]]","[{""move_type"": ""standard_substitution"", ""from_state"": [""YYXyx"", ""YXXyx""], ""to_state"": [""Yx"", ""YXXyx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""Yx"", ""YXXyx""], ""to_state"": [""Y"", ""Yx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""Y"", ""Yx""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,8,YYYYx,YYXyx,ok,True,3,3,solved,2,2,3,0,0,0,2,0,1,0,"[[""YYYYx"", ""YYXyx""], [""X"", ""YYXyx""], [""X"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""auto_cov"", ""automorphism"": ""x_right_+4"", ""letter_replacements"": {""x"": ""xyyyy"", ""X"": ""YYYYX""}, ""right_power"": 4, ""activation_only"": true, ""cyclic_canonical_representative"": true, ""from_state"": [""YYYYx"", ""YYXyx""], ""to_state"": [""X"", ""YYXyx""], ""source_queue"": ""initial_auto_cov_seed""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YYXyx""], ""to_state"": [""X"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""X"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
auto_dual,Sub + Auto Dual GS,9,YYXyx,YXyxx,ok,True,4,3,solved,2,2,4,0,0,0,3,0,0,0,"[[""YYXyx"", ""YXyxx""], [""YX"", ""YXyxx""], [""Y"", ""YX""], [""Y"", ""X""]]","[{""move_type"": ""standard_substitution"", ""from_state"": [""YYXyx"", ""YXyxx""], ""to_state"": [""YX"", ""YXyxx""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""YX"", ""YXyxx""], ""to_state"": [""Y"", ""YX""], ""source_queue"": ""sub""}, {""move_type"": ""standard_substitution"", ""from_state"": [""Y"", ""YX""], ""to_state"": [""Y"", ""X""], ""source_queue"": ""sub""}]",
